noun,rating,category
spirituality,1.07,abstract
belief,1.19,abstract
luck,1.33,abstract
bliss,1.37,abstract
oblivion,1.37,abstract
injustice,1.4,abstract
legacy,1.4,abstract
adversity,1.44,abstract
forgiveness,1.44,abstract
eternity,1.46,abstract
enlightenment,1.5,abstract
privacy,1.5,abstract
courage,1.52,abstract
holiness,1.56,abstract
fantasy,1.59,abstract
irony,1.59,abstract
splendor,1.59,abstract
ignorance,1.6,abstract
curiosity,1.61,abstract
serenity,1.62,abstract
sarcasm,1.63,abstract
bureaucracy,1.64,abstract
probability,1.65,abstract
patience,1.66,abstract
repression,1.66,abstract
fraud,1.68,abstract
imagination,1.69,abstract
tradition,1.69,abstract
purity,1.73,abstract
kindness,1.74,abstract
humility,1.75,abstract
priority,1.76,abstract
economics,1.77,abstract
democracy,1.78,abstract
censorship,1.79,abstract
hardship,1.79,abstract
creativity,1.8,abstract
heaven,1.81,abstract
sadness,1.82,abstract
contemplation,1.83,abstract
nostalgia,1.83,abstract
awareness,1.84,abstract
generosity,1.84,abstract
accuracy,1.85,abstract
exception,1.85,abstract
admiration,1.86,abstract
gloom,1.86,abstract
mysticism,1.86,abstract
explanation,1.87,abstract
opportunity,1.88,abstract
amazement,1.89,abstract
compassion,1.89,abstract
innocence,1.89,abstract
desperation,1.9,abstract
mischief,1.9,abstract
perseverance,1.92,abstract
anticipation,1.93,abstract
disappointment,1.93,abstract
downtime,1.93,abstract
duality,1.93,abstract
strategy,1.93,abstract
bravery,1.96,abstract
capitalism,1.96,abstract
encouragement,1.96,abstract
intimacy,1.96,abstract
aftermath,1.97,abstract
fun,1.97,abstract
artistry,2,abstract
authentication,2,abstract
comparison,2,abstract
endurance,2,abstract
identity,2,abstract
intricacy,2,abstract
patriotism,2,abstract
qualification,2,abstract
proposal,2.75,mid-range
captivity,2.76,mid-range
finale,2.76,mid-range
announcement,2.79,mid-range
oath,2.79,mid-range
science,2.79,mid-range
symmetry,2.79,mid-range
piracy,2.81,mid-range
refusal,2.81,mid-range
stamina,2.81,mid-range
nutrition,2.82,mid-range
recreation,2.82,mid-range
ancestry,2.83,mid-range
visualization,2.83,mid-range
addiction,2.85,mid-range
meditation,2.85,mid-range
statistic,2.88,mid-range
bedtime,2.9,mid-range
communication,2.9,mid-range
deployment,2.9,mid-range
transaction,2.9,mid-range
entertainment,2.92,mid-range
curvature,2.93,mid-range
excursion,2.93,mid-range
fairytale,2.93,mid-range
hobby,2.93,mid-range
montage,2.93,mid-range
altitude,2.96,mid-range
catastrophe,2.96,mid-range
flexibility,2.96,mid-range
legend,2.96,mid-range
nightmare,2.96,mid-range
summertime,2.96,mid-range
witchcraft,2.96,mid-range
geometry,3,mid-range
motherhood,3,mid-range
tourism,3,mid-range
adoption,3.03,mid-range
artisan,3.03,mid-range
astronomy,3.03,mid-range
commuter,3.03,mid-range
crime,3.03,mid-range
simulation,3.03,mid-range
adrenaline,3.04,mid-range
cleanup,3.04,mid-range
departure,3.07,mid-range
discussion,3.07,mid-range
physics,3.07,mid-range
zodiac,3.07,mid-range
malnutrition,3.1,mid-range
fitness,3.11,mid-range
geography,3.11,mid-range
royalty,3.11,mid-range
surveillance,3.11,mid-range
symbol,3.11,mid-range
unemployment,3.11,mid-range
math,3.15,mid-range
nightlife,3.17,mid-range
rehearsal,3.2,mid-range
procession,3.21,mid-range
promotion,3.21,mid-range
winner,3.21,mid-range
recycling,3.25,mid-range
accident,3.26,mid-range
measurement,3.26,mid-range
autumn,3.27,mid-range
quotation,3.27,mid-range
district,3.29,mid-range
census,3.3,mid-range
countdown,3.3,mid-range
civilization,3.32,mid-range
donation,3.32,mid-range
oxidation,3.33,mid-range
deforestation,3.41,mid-range
evacuation,3.44,mid-range
bride,4.63,concrete
puppet,4.64,concrete
chess,4.7,concrete
kayak,4.7,concrete
classroom,4.76,concrete
aquarium,4.77,concrete
playground,4.77,concrete
swimmer,4.77,concrete
beach,4.79,concrete
orchestra,4.79,concrete
spacecraft,4.8,concrete
footbridge,4.81,concrete
alley,4.82,concrete
billboard,4.83,concrete
bonfire,4.83,concrete
scaffolding,4.83,concrete
thunderstorm,4.83,concrete
cyclist,4.84,concrete
container,4.85,concrete
bamboo,4.86,concrete
meadow,4.86,concrete
ocean,4.86,concrete
pollen,4.86,concrete
warship,4.86,concrete
crayon,4.87,concrete
firefighter,4.87,concrete
motorway,4.88,concrete
hammock,4.89,concrete
medal,4.89,concrete
river,4.89,concrete
sprinkler,4.89,concrete
windmill,4.89,concrete
apartment,4.9,concrete
bulldozer,4.9,concrete
grenade,4.9,concrete
guitar,4.9,concrete
waterfall,4.9,concrete
fridge,4.92,concrete
helmet,4.92,concrete
chick,4.93,concrete
cigar,4.93,concrete
firewood,4.93,concrete
laundry,4.93,concrete
owl,4.93,concrete
policeman,4.93,concrete
postcard,4.93,concrete
statue,4.93,concrete
wheelchair,4.93,concrete
wreath,4.93,concrete
airplane,4.96,concrete
dolphin,4.96,concrete
iceberg,4.96,concrete
island,4.96,concrete
meteor,4.96,concrete
mountain,4.96,concrete
shelf,4.96,concrete
stroller,4.96,concrete
sushi,4.96,concrete
wasp,4.96,concrete
arrow,4.97,concrete
kitchen,4.97,concrete
lamp,4.97,concrete
motorcycle,4.97,concrete
salad,4.97,concrete
suitcase,4.97,concrete
yacht,4.97,concrete
donkey,5,concrete
elephant,5,concrete
escalator,5,concrete
mango,5,concrete
microscope,5,concrete
penguin,5,concrete
toad,5,concrete
tomato,5,concrete
toothbrush,5,concrete